Año,Tipo de Delito,Medio de Comisión,Categoría del Medio,Registros en Muestra,Estimación Poblacional,Total Estimado del Año,% del Total del Año
2011,Amenazas,Presencial (cara a cara),PRESENCIAL,980,1182473,23139583,5.11
2011,Extorsión,Sin información,SIN INFORMACIÓN,1658,1832944,23139583,7.92
2011,Fraude al consumidor,Sin información,SIN INFORMACIÓN,5067,5485470,23139583,23.71
2011,Fraude bancario,Correo / mensajería física,OTRO MEDIO,845,882064,23139583,3.81
2011,Fraude bancario,Sin información,SIN INFORMACIÓN,75,69940,23139583,0.3
2011,Fraude bancario,Teléfono (sin detalle),TELEFÓNICO,23,31951,23139583,0.14
2011,Fraude bancario,Presencial (cara a cara),PRESENCIAL,15,19787,23139583,0.09
2011,Hostigamiento / abuso sexual,Presencial (cara a cara),PRESENCIAL,22,15610,23139583,0.07
2011,Lesiones físicas,Presencial (cara a cara),PRESENCIAL,86,114500,23139583,0.49
2011,Robo / asalto en calle o transporte,Presencial (cara a cara),PRESENCIAL,1470,1426278,23139583,6.16
2011,Robo a casa habitación,No aplica (delito de hogar),NO APLICA (HOGAR),4126,5617621,23139583,24.28
2011,Robo de accesorios de vehículo,No aplica (delito de hogar),NO APLICA (HOGAR),5642,2369345,23139583,10.24
2011,Robo en otra forma,Presencial (cara a cara),PRESENCIAL,942,1010803,23139583,4.37
2011,Robo total de vehículo,No aplica (delito de hogar),NO APLICA (HOGAR),1232,434786,23139583,1.88
2011,Secuestro,Presencial (cara a cara),PRESENCIAL,580,724127,23139583,3.13
2011,Vandalismo / daño a propiedad,No aplica (delito de hogar),NO APLICA (HOGAR),4067,1601746,23139583,6.92
2011,Violación sexual,Presencial (cara a cara),PRESENCIAL,356,320138,23139583,1.38
2012,Amenazas,Presencial (cara a cara),PRESENCIAL,1063,927501,22602305,4.1
2012,Extorsión,Sin información,SIN INFORMACIÓN,2294,1752102,22602305,7.75
2012,Fraude al consumidor,Sin información,SIN INFORMACIÓN,5095,4375640,22602305,19.36
2012,Fraude bancario,Correo / mensajería física,OTRO MEDIO,931,694208,22602305,3.07
2012,Fraude bancario,Sin información,SIN INFORMACIÓN,78,39459,22602305,0.17
2012,Fraude bancario,Presencial (cara a cara),PRESENCIAL,36,36505,22602305,0.16
2012,Fraude bancario,Teléfono (sin detalle),TELEFÓNICO,33,31878,22602305,0.14
2012,Fraude bancario,Internet / redes sociales,INTERNET / DIGITAL,29,30225,22602305,0.13
2012,Hostigamiento / abuso sexual,Presencial (cara a cara),PRESENCIAL,74,41406,22602305,0.18
2012,Lesiones físicas,Presencial (cara a cara),PRESENCIAL,81,98846,22602305,0.44
2012,Robo / asalto en calle o transporte,Presencial (cara a cara),PRESENCIAL,1227,1108614,22602305,4.9
2012,Robo a casa habitación,No aplica (delito de hogar),NO APLICA (HOGAR),5066,6633702,22602305,29.35
2012,Robo de accesorios de vehículo,No aplica (delito de hogar),NO APLICA (HOGAR),7316,2549418,22602305,11.28
2012,Robo en otra forma,Presencial (cara a cara),PRESENCIAL,1407,1102434,22602305,4.88
2012,Robo total de vehículo,No aplica (delito de hogar),NO APLICA (HOGAR),1655,611371,22602305,2.7
2012,Secuestro,Presencial (cara a cara),PRESENCIAL,790,740477,22602305,3.28
2012,Vandalismo / daño a propiedad,No aplica (delito de hogar),NO APLICA (HOGAR),5161,1726861,22602305,7.64
2012,Violación sexual,Presencial (cara a cara),PRESENCIAL,157,101658,22602305,0.45
2013,Amenazas,Presencial (cara a cara),PRESENCIAL,3038,2854710,31527590,9.05
2013,Extorsión,Teléfono — llamada de voz,TELEFÓNICO,5811,5505341,31527590,17.46
2013,Extorsión,Sin información,SIN INFORMACIÓN,508,424316,31527590,1.35
2013,Extorsión,Internet / redes sociales,INTERNET / DIGITAL,46,40998,31527590,0.13
2013,Extorsión,Presencial (cara a cara),PRESENCIAL,19,21066,31527590,0.07
2013,Extorsión,Presencial + seguimiento digital,PRESENCIAL,4,2313,31527590,0.01
2013,Fraude al consumidor,Correo / mensajería física,OTRO MEDIO,1377,1041747,31527590,3.3
2013,Fraude al consumidor,Otro medio,OTRO MEDIO,151,127614,31527590,0.4
2013,Fraude al consumidor,Sin información,SIN INFORMACIÓN,61,51248,31527590,0.16
2013,Fraude al consumidor,Internet / redes sociales,INTERNET / DIGITAL,45,34999,31527590,0.11
2013,Fraude al consumidor,Teléfono (sin detalle),TELEFÓNICO,54,28540,31527590,0.09
2013,Fraude al consumidor,Presencial (cara a cara),PRESENCIAL,19,12694,31527590,0.04
2013,Fraude bancario,Teléfono (sin detalle),TELEFÓNICO,1146,886084,31527590,2.81
2013,Fraude bancario,Correo / mensajería física,OTRO MEDIO,275,336003,31527590,1.07
2013,Fraude bancario,Otro medio,OTRO MEDIO,41,41400,31527590,0.13
2013,Fraude bancario,Sin información,SIN INFORMACIÓN,27,22011,31527590,0.07
2013,Fraude bancario,Presencial (cara a cara),PRESENCIAL,28,20256,31527590,0.06
2013,Fraude bancario,Internet / redes sociales,INTERNET / DIGITAL,34,20003,31527590,0.06
2013,Hostigamiento / abuso sexual,Presencial (cara a cara),PRESENCIAL,485,577716,31527590,1.83
2013,Lesiones físicas,Presencial (cara a cara),PRESENCIAL,1012,1087761,31527590,3.45
2013,Otro delito,Presencial (cara a cara),PRESENCIAL,81,62806,31527590,0.2
2013,Robo / asalto en calle o transporte,Presencial (cara a cara),PRESENCIAL,5821,7931693,31527590,25.16
2013,Robo a casa habitación,No aplica (delito de hogar),NO APLICA (HOGAR),6266,2099285,31527590,6.66
2013,Robo de accesorios de vehículo,No aplica (delito de hogar),NO APLICA (HOGAR),8726,3340576,31527590,10.6
2013,Robo en otra forma,Presencial (cara a cara),PRESENCIAL,434,396846,31527590,1.26
2013,Robo total de vehículo,No aplica (delito de hogar),NO APLICA (HOGAR),1588,622462,31527590,1.97
2013,Secuestro,Presencial (cara a cara),PRESENCIAL,82,89086,31527590,0.28
2013,Vandalismo / daño a propiedad,No aplica (delito de hogar),NO APLICA (HOGAR),9857,3758143,31527590,11.92
2013,Violación sexual,Presencial (cara a cara),PRESENCIAL,81,89873,31527590,0.29
2014,Amenazas,Presencial (cara a cara),PRESENCIAL,3008,3031965,37241139,8.14
2014,Extorsión,Teléfono — llamada de voz,TELEFÓNICO,5965,7323178,37241139,19.66
2014,Extorsión,Sin información,SIN INFORMACIÓN,360,410180,37241139,1.1
2014,Extorsión,Internet / redes sociales,INTERNET / DIGITAL,31,43416,37241139,0.12
2014,Extorsión,Presencial (cara a cara),PRESENCIAL,15,15582,37241139,0.04
2014,Extorsión,Presencial + seguimiento digital,PRESENCIAL,2,1684,37241139,0.0
2014,Fraude al consumidor,Presencial (cara a cara),PRESENCIAL,1594,1674891,37241139,4.5
2014,Fraude bancario,Teléfono (sin detalle),TELEFÓNICO,976,1077199,37241139,2.89
2014,Fraude bancario,Correo / mensajería física,OTRO MEDIO,179,256144,37241139,0.69
2014,Fraude bancario,Presencial (cara a cara),PRESENCIAL,70,89326,37241139,0.24
2014,Fraude bancario,Internet / redes sociales,INTERNET / DIGITAL,43,47148,37241139,0.13
2014,Fraude bancario,Otro medio,OTRO MEDIO,22,17429,37241139,0.05
2014,Fraude bancario,Sin información,SIN INFORMACIÓN,10,7324,37241139,0.02
2014,Hostigamiento / abuso sexual,Presencial (cara a cara),PRESENCIAL,575,682238,37241139,1.83
2014,Lesiones físicas,Presencial (cara a cara),PRESENCIAL,919,1038026,37241139,2.79
2014,Otro delito,Presencial (cara a cara),PRESENCIAL,120,88903,37241139,0.24
2014,Robo / asalto en calle o transporte,Presencial (cara a cara),PRESENCIAL,5424,9787891,37241139,26.28
2014,Robo a casa habitación,No aplica (delito de hogar),NO APLICA (HOGAR),5804,2141103,37241139,5.75
2014,Robo de accesorios de vehículo,No aplica (delito de hogar),NO APLICA (HOGAR),7349,3358372,37241139,9.02
2014,Robo en otra forma,Presencial (cara a cara),PRESENCIAL,1455,1213624,37241139,3.26
2014,Robo total de vehículo,No aplica (delito de hogar),NO APLICA (HOGAR),1235,601157,37241139,1.61
2014,Secuestro,Presencial (cara a cara),PRESENCIAL,76,85821,37241139,0.23
2014,Vandalismo / daño a propiedad,No aplica (delito de hogar),NO APLICA (HOGAR),8164,4150876,37241139,11.15
2014,Violación sexual,Presencial (cara a cara),PRESENCIAL,82,97662,37241139,0.26
2015,Amenazas,Presencial (cara a cara),PRESENCIAL,3022,3324903,37533888,8.86
2015,Extorsión,Teléfono — llamada de voz,TELEFÓNICO,6671,7546896,37533888,20.11
2015,Extorsión,Sin información,SIN INFORMACIÓN,391,372127,37533888,0.99
2015,Extorsión,Internet / redes sociales,INTERNET / DIGITAL,34,34268,37533888,0.09
2015,Extorsión,Presencial (cara a cara),PRESENCIAL,16,15584,37533888,0.04
2015,Extorsión,Presencial + seguimiento digital,PRESENCIAL,1,710,37533888,0.0
2015,Fraude al consumidor,Presencial (cara a cara),PRESENCIAL,1699,1698382,37533888,4.52
2015,Fraude bancario,Teléfono (sin detalle),TELEFÓNICO,1079,1143511,37533888,3.05
2015,Fraude bancario,Correo / mensajería física,OTRO MEDIO,253,364864,37533888,0.97
2015,Fraude bancario,Presencial (cara a cara),PRESENCIAL,99,116294,37533888,0.31
2015,Fraude bancario,Internet / redes sociales,INTERNET / DIGITAL,55,49928,37533888,0.13
2015,Fraude bancario,Sin información,SIN INFORMACIÓN,19,36146,37533888,0.1
2015,Fraude bancario,Otro medio,OTRO MEDIO,34,33632,37533888,0.09
2015,Hostigamiento / abuso sexual,Presencial (cara a cara),PRESENCIAL,552,745170,37533888,1.99
2015,Lesiones físicas,Presencial (cara a cara),PRESENCIAL,950,1159244,37533888,3.09
2015,Otro delito,Presencial (cara a cara),PRESENCIAL,91,64576,37533888,0.17
2015,Robo / asalto en calle o transporte,Presencial (cara a cara),PRESENCIAL,5357,9631471,37533888,25.66
2015,Robo a casa habitación,No aplica (delito de hogar),NO APLICA (HOGAR),5651,2050088,37533888,5.46
2015,Robo de accesorios de vehículo,No aplica (delito de hogar),NO APLICA (HOGAR),7685,3408567,37533888,9.08
2015,Robo en otra forma,Presencial (cara a cara),PRESENCIAL,1482,1192869,37533888,3.18
2015,Robo total de vehículo,No aplica (delito de hogar),NO APLICA (HOGAR),1131,545052,37533888,1.45
2015,Secuestro,Presencial (cara a cara),PRESENCIAL,81,79263,37533888,0.21
2015,Vandalismo / daño a propiedad,No aplica (delito de hogar),NO APLICA (HOGAR),8279,3829856,37533888,10.2
2015,Violación sexual,Presencial (cara a cara),PRESENCIAL,67,90487,37533888,0.24
2016,Amenazas,Presencial (cara a cara),PRESENCIAL,2531,2340636,32045635,7.3
2016,Extorsión,Teléfono — llamada de voz,TELEFÓNICO,6207,6677177,32045635,20.84
2016,Extorsión,Sin información,SIN INFORMACIÓN,410,394603,32045635,1.23
2016,Extorsión,Internet / redes sociales,INTERNET / DIGITAL,31,26780,32045635,0.08
2016,Extorsión,Presencial (cara a cara),PRESENCIAL,7,2318,32045635,0.01
2016,Fraude al consumidor,Presencial (cara a cara),PRESENCIAL,1623,1454341,32045635,4.54
2016,Fraude bancario,Teléfono (sin detalle),TELEFÓNICO,1069,1089451,32045635,3.4
2016,Fraude bancario,Correo / mensajería física,OTRO MEDIO,305,507457,32045635,1.58
2016,Fraude bancario,Presencial (cara a cara),PRESENCIAL,73,75282,32045635,0.23
2016,Fraude bancario,Internet / redes sociales,INTERNET / DIGITAL,42,40459,32045635,0.13
2016,Fraude bancario,Sin información,SIN INFORMACIÓN,30,29718,32045635,0.09
2016,Fraude bancario,Otro medio,OTRO MEDIO,31,28457,32045635,0.09
2016,Hostigamiento / abuso sexual,Presencial (cara a cara),PRESENCIAL,561,629151,32045635,1.96
2016,Lesiones físicas,Presencial (cara a cara),PRESENCIAL,1134,1072610,32045635,3.35
2016,Otro delito,Presencial (cara a cara),PRESENCIAL,91,89008,32045635,0.28
2016,Robo / asalto en calle o transporte,Presencial (cara a cara),PRESENCIAL,4839,8252297,32045635,25.75
2016,Robo a casa habitación,No aplica (delito de hogar),NO APLICA (HOGAR),5598,2061119,32045635,6.43
2016,Robo de accesorios de vehículo,No aplica (delito de hogar),NO APLICA (HOGAR),6679,2854511,32045635,8.91
2016,Robo en otra forma,Presencial (cara a cara),PRESENCIAL,1202,1088607,32045635,3.4
2016,Robo total de vehículo,No aplica (delito de hogar),NO APLICA (HOGAR),965,452001,32045635,1.41
2016,Secuestro,Presencial (cara a cara),PRESENCIAL,63,66128,32045635,0.21
2016,Vandalismo / daño a propiedad,No aplica (delito de hogar),NO APLICA (HOGAR),6443,2737485,32045635,8.54
2016,Violación sexual,Presencial (cara a cara),PRESENCIAL,92,76039,32045635,0.24
2017,Amenazas,Presencial (cara a cara),PRESENCIAL,2742,2409065,33787587,7.13
2017,Extorsión,Teléfono — llamada de voz,TELEFÓNICO,7008,7170019,33787587,21.22
2017,Extorsión,Sin información,SIN INFORMACIÓN,332,294430,33787587,0.87
2017,Extorsión,Internet / redes sociales,INTERNET / DIGITAL,35,29811,33787587,0.09
2017,Extorsión,Presencial (cara a cara),PRESENCIAL,9,7898,33787587,0.02
2017,Extorsión,Presencial + seguimiento digital,PRESENCIAL,2,1319,33787587,0.0
2017,Fraude al consumidor,Presencial (cara a cara),PRESENCIAL,1799,1606472,33787587,4.75
2017,Fraude bancario,Teléfono (sin detalle),TELEFÓNICO,1429,1304484,33787587,3.86
2017,Fraude bancario,Correo / mensajería física,OTRO MEDIO,472,763211,33787587,2.26
2017,Fraude bancario,Presencial (cara a cara),PRESENCIAL,83,77261,33787587,0.23
2017,Fraude bancario,Sin información,SIN INFORMACIÓN,21,66256,33787587,0.2
2017,Fraude bancario,Internet / redes sociales,INTERNET / DIGITAL,59,59407,33787587,0.18
2017,Fraude bancario,Otro medio,OTRO MEDIO,23,29041,33787587,0.09
2017,Hostigamiento / abuso sexual,Presencial (cara a cara),PRESENCIAL,707,817975,33787587,2.42
2017,Lesiones físicas,Presencial (cara a cara),PRESENCIAL,982,968451,33787587,2.87
2017,Otro delito,Presencial (cara a cara),PRESENCIAL,121,107844,33787587,0.32
2017,Robo / asalto en calle o transporte,Presencial (cara a cara),PRESENCIAL,5818,8052656,33787587,23.83
2017,Robo a casa habitación,No aplica (delito de hogar),NO APLICA (HOGAR),5799,2044594,33787587,6.05
2017,Robo de accesorios de vehículo,No aplica (delito de hogar),NO APLICA (HOGAR),7475,3029486,33787587,8.97
2017,Robo en otra forma,Presencial (cara a cara),PRESENCIAL,1832,1578411,33787587,4.67
2017,Robo total de vehículo,No aplica (delito de hogar),NO APLICA (HOGAR),1106,493727,33787587,1.46
2017,Secuestro,Presencial (cara a cara),PRESENCIAL,76,79864,33787587,0.24
2017,Vandalismo / daño a propiedad,No aplica (delito de hogar),NO APLICA (HOGAR),6618,2734911,33787587,8.09
2017,Violación sexual,Presencial (cara a cara),PRESENCIAL,82,60994,33787587,0.18
2018,Amenazas,Presencial (cara a cara),PRESENCIAL,2797,2837151,36449531,7.78
2018,Extorsión,Teléfono — llamada de voz,TELEFÓNICO,6024,6139618,36449531,16.84
2018,Extorsión,Sin información,SIN INFORMACIÓN,342,425104,36449531,1.17
2018,Extorsión,Internet / redes sociales,INTERNET / DIGITAL,30,19650,36449531,0.05
2018,Extorsión,Presencial (cara a cara),PRESENCIAL,5,6356,36449531,0.02
2018,Fraude al consumidor,Presencial (cara a cara),PRESENCIAL,1980,1714304,36449531,4.7
2018,Fraude bancario,Teléfono (sin detalle),TELEFÓNICO,1797,1763256,36449531,4.84
2018,Fraude bancario,Correo / mensajería física,OTRO MEDIO,425,720010,36449531,1.98
2018,Fraude bancario,Presencial (cara a cara),PRESENCIAL,101,138158,36449531,0.38
2018,Fraude bancario,Internet / redes sociales,INTERNET / DIGITAL,111,116769,36449531,0.32
2018,Fraude bancario,Otro medio,OTRO MEDIO,69,70005,36449531,0.19
2018,Fraude bancario,Sin información,SIN INFORMACIÓN,22,38181,36449531,0.1
2018,Hostigamiento / abuso sexual,Presencial (cara a cara),PRESENCIAL,1037,1244240,36449531,3.41
2018,Lesiones físicas,Presencial (cara a cara),PRESENCIAL,1048,1004432,36449531,2.76
2018,Otro delito,Presencial (cara a cara),PRESENCIAL,87,67615,36449531,0.19
