edicion_envipe,anio_referencia,ambito,unidad_medida,serie_id,indicador_id,indicador,delito,medio_comision,estatus,variable_fuente,bpcod_filtro,valor_filtro,estimacion_incidentes,estimacion_incidentes_redondeada,n_muestra_numerador,estimacion_total_delito,n_muestra_total_delito,porcentaje_sobre_total_delito,estimacion_respuestas_validas,n_muestra_respuestas_validas,porcentaje_sobre_respuestas_validas,factor_expansion,multirrespuesta,los_componentes_pueden_traslaparse,comparabilidad_historica,ruptura_serie,precision_calculada,publicar_sin_cv_ee_ic,archivo_zip,archivo_dbf,sha256_zip,url_edicion_inegi,url_documento_regla,url_diseno_muestral,nota_metodologica
2011,2010,Nacional,Incidentes delictivos estimados,SERIE_HISTORICA_ARMONIZADA,TOTAL_FRAUDE_EXTORSION_TELECOM_ARMONIZADO,Total armonizado: fraude por internet/correo y extorsión por teléfono o internet/correo,Fraude + extorsión,Medios de telecomunicaciones definidos por preguntas históricas,estimado,BP4_1+BP5_1,07|08,"BP4_1=3;BP5_1=1,3",5010208.0,5010208,4683,6489212.0,6025,77.20826504050106,6323616.0,5883,79.23011137931209,FAC_DEL,No,No,"Armonizada, no estrictamente comparable; ruptura conceptual en 2012",No estimable con la misma definición en 2024,No,No recomendado,base_de_datos_envipe_2011_dbf.zip,tmod_vic.DBF,d6c660f00ca2179dcabf59a9af166d7605793eed48c6eb84bcd8d24f39bd2ce4,https://www.inegi.org.mx/programas/envipe/2011/,https://www.inegi.org.mx/contenidos/programas/envipe/2011/doc/cuest_envipe11_modulo.pdf | https://www.inegi.org.mx/contenidos/programas/envipe/2011/doc/cuest_envipe11_modulo.pdf,https://www.inegi.org.mx/contenidos/programas/envipe/2025/doc/889463926689.pdf,Suma sin doble conteo porque fraude y extorsión son BPCOD distintos. No incluye amenazas ni hostigamiento antes de 2024 porque el instrumento no captaba su medio de comisión.
2011,2010,Nacional,Incidentes delictivos estimados,SERIE_HISTORICA_MODALIDAD,EXTORSION_INTERNET_CORREO,Extorsiones por internet o correo electrónico,Extorsión,Internet/correo electrónico,estimado,BP5_1,08,3,81965.0,81965,5,5485470.0,5067,1.4942201853259611,5389814.0,5000,1.5207389345903217,FAC_DEL,No,No,Sí hasta el año de referencia 2023,Sí en 2024: BP5_1 cambia de significado,No,No recomendado,base_de_datos_envipe_2011_dbf.zip,tmod_vic.DBF,d6c660f00ca2179dcabf59a9af166d7605793eed48c6eb84bcd8d24f39bd2ce4,https://www.inegi.org.mx/programas/envipe/2011/,https://www.inegi.org.mx/contenidos/programas/envipe/2011/doc/cuest_envipe11_modulo.pdf,https://www.inegi.org.mx/contenidos/programas/envipe/2025/doc/889463926689.pdf,BP5_1 clasifica el medio/tipo de extorsión hasta ENVIPE 2024 (datos 2023).
2011,2010,Nacional,Incidentes delictivos estimados,SERIE_HISTORICA_MODALIDAD,EXTORSION_MEDIOS_TELECOM,Extorsiones por teléfono o internet/correo electrónico,Extorsión,Teléfono o internet/correo electrónico (unión),estimado,BP5_1,08,1|3,4950783.0,4950783,4648,5485470.0,5067,90.25266750159969,5389814.0,5000,91.85443134030228,FAC_DEL,No,No,Sí hasta el año de referencia 2023,Sí en 2024: BP5_1 cambia de significado,No,No recomendado,base_de_datos_envipe_2011_dbf.zip,tmod_vic.DBF,d6c660f00ca2179dcabf59a9af166d7605793eed48c6eb84bcd8d24f39bd2ce4,https://www.inegi.org.mx/programas/envipe/2011/,https://www.inegi.org.mx/contenidos/programas/envipe/2011/doc/cuest_envipe11_modulo.pdf,https://www.inegi.org.mx/contenidos/programas/envipe/2025/doc/889463926689.pdf,BP5_1 clasifica el medio/tipo de extorsión hasta ENVIPE 2024 (datos 2023).
2011,2010,Nacional,Incidentes delictivos estimados,SERIE_HISTORICA_MODALIDAD,EXTORSION_TELEFONICA,Extorsiones telefónicas,Extorsión,Llamada telefónica,estimado,BP5_1,08,1,4868818.0,4868818,4643,5485470.0,5067,88.75844731627372,5389814.0,5000,90.33369240571196,FAC_DEL,No,No,Sí hasta el año de referencia 2023,Sí en 2024: BP5_1 cambia de significado,No,No recomendado,base_de_datos_envipe_2011_dbf.zip,tmod_vic.DBF,d6c660f00ca2179dcabf59a9af166d7605793eed48c6eb84bcd8d24f39bd2ce4,https://www.inegi.org.mx/programas/envipe/2011/,https://www.inegi.org.mx/contenidos/programas/envipe/2011/doc/cuest_envipe11_modulo.pdf,https://www.inegi.org.mx/contenidos/programas/envipe/2025/doc/889463926689.pdf,BP5_1 clasifica el medio/tipo de extorsión hasta ENVIPE 2024 (datos 2023).
2011,2010,Nacional,Incidentes delictivos estimados,SERIE_HISTORICA_MODALIDAD,FRAUDE_INTERNET_CORREO,Fraudes por internet o correo electrónico,Fraude,Internet/correo electrónico,estimado,BP4_1,07,3,59425.0,59425,35,1003742.0,958,5.9203460650246775,933802.0,883,6.363768764684591,FAC_DEL,No,No,Condicionada: desde 2012 cambia la clasificación y cobertura del fraude,No,No,No recomendado,base_de_datos_envipe_2011_dbf.zip,tmod_vic.DBF,d6c660f00ca2179dcabf59a9af166d7605793eed48c6eb84bcd8d24f39bd2ce4,https://www.inegi.org.mx/programas/envipe/2011/,https://www.inegi.org.mx/contenidos/programas/envipe/2011/doc/cuest_envipe11_modulo.pdf,https://www.inegi.org.mx/contenidos/programas/envipe/2025/doc/889463926689.pdf,ENVIPE 2011: BP4_1=3 es internet/correo; no incluye fraude bancario BPCOD=06.
2012,2011,Nacional,Incidentes delictivos estimados,SERIE_HISTORICA_ARMONIZADA,TOTAL_FRAUDE_EXTORSION_TELECOM_ARMONIZADO,Total armonizado: fraude por internet/correo y extorsión por teléfono o internet/correo,Fraude + extorsión,Medios de telecomunicaciones definidos por preguntas históricas,estimado,BP4_1+BP5_1,07|08,"BP4_1=4;BP5_1=1,3",3927866.0,3927866,4629,5207915.0,6202,75.42108502154893,5109078.0,6045,76.8801337540746,FAC_DEL,No,No,"Armonizada, no estrictamente comparable; ruptura conceptual en 2012",No estimable con la misma definición en 2024,No,No recomendado,base_de_datos_envipe_2012_dbf.zip,Tmod_Vic.DBF,d7caa74ea4264d59fecfc1d1959824051adfe43613514e2e5ca22f24f31548f5,https://www.inegi.org.mx/programas/envipe/2012/,https://www.inegi.org.mx/contenido/productos/prod_serv/contenidos/espanol/bvinegi/productos/metodologias/ENVIPE2012/Manual_ENT/ENVIPE12_Manual_ENT.pdf | https://www.inegi.org.mx/contenido/productos/prod_serv/contenidos/espanol/bvinegi/productos/metodologias/ENVIPE2012/Manual_ENT/ENVIPE12_Manual_ENT.pdf,https://www.inegi.org.mx/contenidos/programas/envipe/2025/doc/889463926689.pdf,Suma sin doble conteo porque fraude y extorsión son BPCOD distintos. No incluye amenazas ni hostigamiento antes de 2024 porque el instrumento no captaba su medio de comisión.
2012,2011,Nacional,Incidentes delictivos estimados,SERIE_HISTORICA_MODALIDAD,EXTORSION_INTERNET_CORREO,Extorsiones por internet o correo electrónico,Extorsión,Internet/correo electrónico,estimado,BP5_1,08,3,1838.0,1838,5,4375640.0,5095,0.04200528379848434,4316262.0,5016,0.04258314254324691,FAC_DEL,No,No,Sí hasta el año de referencia 2023,Sí en 2024: BP5_1 cambia de significado,No,No recomendado,base_de_datos_envipe_2012_dbf.zip,Tmod_Vic.DBF,d7caa74ea4264d59fecfc1d1959824051adfe43613514e2e5ca22f24f31548f5,https://www.inegi.org.mx/programas/envipe/2012/,https://www.inegi.org.mx/contenido/productos/prod_serv/contenidos/espanol/bvinegi/productos/metodologias/ENVIPE2012/Manual_ENT/ENVIPE12_Manual_ENT.pdf,https://www.inegi.org.mx/contenidos/programas/envipe/2025/doc/889463926689.pdf,BP5_1 clasifica el medio/tipo de extorsión hasta ENVIPE 2024 (datos 2023).
2012,2011,Nacional,Incidentes delictivos estimados,SERIE_HISTORICA_MODALIDAD,EXTORSION_MEDIOS_TELECOM,Extorsiones por teléfono o internet/correo electrónico,Extorsión,Teléfono o internet/correo electrónico (unión),estimado,BP5_1,08,1|3,3895988.0,3895988,4596,4375640.0,5095,89.03812927937399,4316262.0,5016,90.26300998410198,FAC_DEL,No,No,Sí hasta el año de referencia 2023,Sí en 2024: BP5_1 cambia de significado,No,No recomendado,base_de_datos_envipe_2012_dbf.zip,Tmod_Vic.DBF,d7caa74ea4264d59fecfc1d1959824051adfe43613514e2e5ca22f24f31548f5,https://www.inegi.org.mx/programas/envipe/2012/,https://www.inegi.org.mx/contenido/productos/prod_serv/contenidos/espanol/bvinegi/productos/metodologias/ENVIPE2012/Manual_ENT/ENVIPE12_Manual_ENT.pdf,https://www.inegi.org.mx/contenidos/programas/envipe/2025/doc/889463926689.pdf,BP5_1 clasifica el medio/tipo de extorsión hasta ENVIPE 2024 (datos 2023).
2012,2011,Nacional,Incidentes delictivos estimados,SERIE_HISTORICA_MODALIDAD,EXTORSION_TELEFONICA,Extorsiones telefónicas,Extorsión,Llamada telefónica,estimado,BP5_1,08,1,3894150.0,3894150,4591,4375640.0,5095,88.9961239955755,4316262.0,5016,90.22042684155875,FAC_DEL,No,No,Sí hasta el año de referencia 2023,Sí en 2024: BP5_1 cambia de significado,No,No recomendado,base_de_datos_envipe_2012_dbf.zip,Tmod_Vic.DBF,d7caa74ea4264d59fecfc1d1959824051adfe43613514e2e5ca22f24f31548f5,https://www.inegi.org.mx/programas/envipe/2012/,https://www.inegi.org.mx/contenido/productos/prod_serv/contenidos/espanol/bvinegi/productos/metodologias/ENVIPE2012/Manual_ENT/ENVIPE12_Manual_ENT.pdf,https://www.inegi.org.mx/contenidos/programas/envipe/2025/doc/889463926689.pdf,BP5_1 clasifica el medio/tipo de extorsión hasta ENVIPE 2024 (datos 2023).
2012,2011,Nacional,Incidentes delictivos estimados,SERIE_HISTORICA_MODALIDAD,FRAUDE_INTERNET_CORREO,Fraudes por internet o correo electrónico,Fraude,Internet/correo electrónico,estimado,BP4_1,07,4,31878.0,31878,33,832275.0,1107,3.8302243849689104,792816.0,1029,4.020857298540897,FAC_DEL,No,No,Condicionada: desde 2012 cambia la clasificación y cobertura del fraude,No,No,No recomendado,base_de_datos_envipe_2012_dbf.zip,Tmod_Vic.DBF,d7caa74ea4264d59fecfc1d1959824051adfe43613514e2e5ca22f24f31548f5,https://www.inegi.org.mx/programas/envipe/2012/,https://www.inegi.org.mx/contenido/productos/prod_serv/contenidos/espanol/bvinegi/productos/metodologias/ENVIPE2012/Manual_ENT/ENVIPE12_Manual_ENT.pdf,https://www.inegi.org.mx/contenidos/programas/envipe/2025/doc/889463926689.pdf,ENVIPE 2012: BP4_1=4 es internet/correo; BPCOD=07 histórico.
2013,2012,Nacional,Incidentes delictivos estimados,SERIE_HISTORICA_ARMONIZADA,TOTAL_FRAUDE_EXTORSION_TELECOM_ARMONIZADO,Total armonizado: fraude por internet/correo y extorsión por teléfono o internet/correo,Fraude + extorsión,Medios de telecomunicaciones definidos por preguntas históricas,estimado,BP4_1+BP5_1,07|08|09,"BP4_1=5;BP5_1=1,3",5583722.0,5583722,5913,8616633.0,9646,64.80166905100867,8448991.0,9467,66.08744168386498,FAC_DEL,No,No,"Armonizada, no estrictamente comparable; ruptura conceptual en 2012",No estimable con la misma definición en 2024,No,No recomendado,bd_envipe13_dbf.zip,tmod_vic.dbf,b0b9fd1d1dafc12c22162bf695aa3c95ad4c8e86bf00171f082f69e79b54f890,https://www.inegi.org.mx/programas/envipe/2013/,https://www.inegi.org.mx/contenidos/programas/envipe/2013/doc/envipe13_manual_ent.pdf | https://www.inegi.org.mx/contenidos/programas/envipe/2024/doc/cuest_modulo_envipe2024.pdf,https://www.inegi.org.mx/contenidos/programas/envipe/2025/doc/889463926689.pdf,Suma sin doble conteo porque fraude y extorsión son BPCOD distintos. No incluye amenazas ni hostigamiento antes de 2024 porque el instrumento no captaba su medio de comisión.
2013,2012,Nacional,Incidentes delictivos estimados,SERIE_HISTORICA_MODALIDAD,EXTORSION_INTERNET_CORREO,Extorsiones por internet o correo electrónico,Extorsión,Internet/correo electrónico,estimado,BP5_1,09,3,23379.0,23379,23,5994034.0,6388,0.3900378276132568,5899651.0,6297,0.3962776781202821,FAC_DEL,No,No,Sí hasta el año de referencia 2023,Sí en 2024: BP5_1 cambia de significado,No,No recomendado,bd_envipe13_dbf.zip,tmod_vic.dbf,b0b9fd1d1dafc12c22162bf695aa3c95ad4c8e86bf00171f082f69e79b54f890,https://www.inegi.org.mx/programas/envipe/2013/,https://www.inegi.org.mx/contenidos/programas/envipe/2024/doc/cuest_modulo_envipe2024.pdf,https://www.inegi.org.mx/contenidos/programas/envipe/2025/doc/889463926689.pdf,BP5_1 clasifica el medio/tipo de extorsión hasta ENVIPE 2024 (datos 2023).
2013,2012,Nacional,Incidentes delictivos estimados,SERIE_HISTORICA_MODALIDAD,EXTORSION_MEDIOS_TELECOM,Extorsiones por teléfono o internet/correo electrónico,Extorsión,Teléfono o internet/correo electrónico (unión),estimado,BP5_1,09,1|3,5528720.0,5528720,5834,5994034.0,6388,92.2370477044341,5899651.0,6297,93.71266198627681,FAC_DEL,No,No,Sí hasta el año de referencia 2023,Sí en 2024: BP5_1 cambia de significado,No,No recomendado,bd_envipe13_dbf.zip,tmod_vic.dbf,b0b9fd1d1dafc12c22162bf695aa3c95ad4c8e86bf00171f082f69e79b54f890,https://www.inegi.org.mx/programas/envipe/2013/,https://www.inegi.org.mx/contenidos/programas/envipe/2024/doc/cuest_modulo_envipe2024.pdf,https://www.inegi.org.mx/contenidos/programas/envipe/2025/doc/889463926689.pdf,BP5_1 clasifica el medio/tipo de extorsión hasta ENVIPE 2024 (datos 2023).
2013,2012,Nacional,Incidentes delictivos estimados,SERIE_HISTORICA_MODALIDAD,EXTORSION_TELEFONICA,Extorsiones telefónicas,Extorsión,Llamada telefónica,estimado,BP5_1,09,1,5505341.0,5505341,5811,5994034.0,6388,91.84700987682085,5899651.0,6297,93.31638430815653,FAC_DEL,No,No,Sí hasta el año de referencia 2023,Sí en 2024: BP5_1 cambia de significado,No,No recomendado,bd_envipe13_dbf.zip,tmod_vic.dbf,b0b9fd1d1dafc12c22162bf695aa3c95ad4c8e86bf00171f082f69e79b54f890,https://www.inegi.org.mx/programas/envipe/2013/,https://www.inegi.org.mx/contenidos/programas/envipe/2024/doc/cuest_modulo_envipe2024.pdf,https://www.inegi.org.mx/contenidos/programas/envipe/2025/doc/889463926689.pdf,BP5_1 clasifica el medio/tipo de extorsión hasta ENVIPE 2024 (datos 2023).
2013,2012,Nacional,Incidentes delictivos estimados,SERIE_HISTORICA_MODALIDAD,FRAUDE_INTERNET_CORREO,Fraudes por internet o correo electrónico,Fraude,Internet/correo electrónico,estimado,BP4_1,07|08,5,55002.0,55002,79,2622599.0,3258,2.0972325544240658,2549340.0,3170,2.157499588128692,FAC_DEL,No,No,Condicionada: desde 2012 cambia la clasificación y cobertura del fraude,No,No,No recomendado,bd_envipe13_dbf.zip,tmod_vic.dbf,b0b9fd1d1dafc12c22162bf695aa3c95ad4c8e86bf00171f082f69e79b54f890,https://www.inegi.org.mx/programas/envipe/2013/,https://www.inegi.org.mx/contenidos/programas/envipe/2013/doc/envipe13_manual_ent.pdf,https://www.inegi.org.mx/contenidos/programas/envipe/2025/doc/889463926689.pdf,Desde datos 2012: fraude BPCOD=07/08 y BP4_1=5 es internet/correo electrónico.
2014,2013,Nacional,Incidentes delictivos estimados,SERIE_HISTORICA_ARMONIZADA,TOTAL_FRAUDE_EXTORSION_TELECOM_ARMONIZADO,Total armonizado: fraude por internet/correo y extorsión por teléfono o internet/correo,Fraude + extorsión,Medios de telecomunicaciones definidos por preguntas históricas,estimado,BP4_1+BP5_1,07|08|09,"BP4_1=5;BP5_1=1,3",7387592.0,7387592,6025,10963501.0,9267,67.38351189095528,10932506.0,9235,67.5745524402182,FAC_DEL,No,No,"Armonizada, no estrictamente comparable; ruptura conceptual en 2012",No estimable con la misma definición en 2024,No,No recomendado,bd_envipe2014_dbf.zip,bd_envipe2014/bd_envipe2014/TMod_Vic.dbf,8f1d0eb519a0ceabe36d187d9a49734dbef97f219b86eea9084ebd1818973f77,https://www.inegi.org.mx/programas/envipe/2014/,https://www.inegi.org.mx/contenidos/programas/envipe/2024/doc/cuest_modulo_envipe2024.pdf | https://www.inegi.org.mx/contenidos/programas/envipe/2024/doc/cuest_modulo_envipe2024.pdf,https://www.inegi.org.mx/contenidos/programas/envipe/2025/doc/889463926689.pdf,Suma sin doble conteo porque fraude y extorsión son BPCOD distintos. No incluye amenazas ni hostigamiento antes de 2024 porque el instrumento no captaba su medio de comisión.
2014,2013,Nacional,Incidentes delictivos estimados,SERIE_HISTORICA_MODALIDAD,EXTORSION_INTERNET_CORREO,Extorsiones por internet o correo electrónico,Extorsión,Internet/correo electrónico,estimado,BP5_1,09,3,17266.0,17266,17,7794040.0,6373,0.22152824465873924,7770369.0,6351,0.2222030897116984,FAC_DEL,No,No,Sí hasta el año de referencia 2023,Sí en 2024: BP5_1 cambia de significado,No,No recomendado,bd_envipe2014_dbf.zip,bd_envipe2014/bd_envipe2014/TMod_Vic.dbf,8f1d0eb519a0ceabe36d187d9a49734dbef97f219b86eea9084ebd1818973f77,https://www.inegi.org.mx/programas/envipe/2014/,https://www.inegi.org.mx/contenidos/programas/envipe/2024/doc/cuest_modulo_envipe2024.pdf,https://www.inegi.org.mx/contenidos/programas/envipe/2025/doc/889463926689.pdf,BP5_1 clasifica el medio/tipo de extorsión hasta ENVIPE 2024 (datos 2023).
2014,2013,Nacional,Incidentes delictivos estimados,SERIE_HISTORICA_MODALIDAD,EXTORSION_MEDIOS_TELECOM,Extorsiones por teléfono o internet/correo electrónico,Extorsión,Teléfono o internet/correo electrónico (unión),estimado,BP5_1,09,1|3,7340444.0,7340444,5982,7794040.0,6373,94.18021975766098,7770369.0,6351,94.467122475136,FAC_DEL,No,No,Sí hasta el año de referencia 2023,Sí en 2024: BP5_1 cambia de significado,No,No recomendado,bd_envipe2014_dbf.zip,bd_envipe2014/bd_envipe2014/TMod_Vic.dbf,8f1d0eb519a0ceabe36d187d9a49734dbef97f219b86eea9084ebd1818973f77,https://www.inegi.org.mx/programas/envipe/2014/,https://www.inegi.org.mx/contenidos/programas/envipe/2024/doc/cuest_modulo_envipe2024.pdf,https://www.inegi.org.mx/contenidos/programas/envipe/2025/doc/889463926689.pdf,BP5_1 clasifica el medio/tipo de extorsión hasta ENVIPE 2024 (datos 2023).
2014,2013,Nacional,Incidentes delictivos estimados,SERIE_HISTORICA_MODALIDAD,EXTORSION_TELEFONICA,Extorsiones telefónicas,Extorsión,Llamada telefónica,estimado,BP5_1,09,1,7323178.0,7323178,5965,7794040.0,6373,93.95869151300225,7770369.0,6351,94.2449193854243,FAC_DEL,No,No,Sí hasta el año de referencia 2023,Sí en 2024: BP5_1 cambia de significado,No,No recomendado,bd_envipe2014_dbf.zip,bd_envipe2014/bd_envipe2014/TMod_Vic.dbf,8f1d0eb519a0ceabe36d187d9a49734dbef97f219b86eea9084ebd1818973f77,https://www.inegi.org.mx/programas/envipe/2014/,https://www.inegi.org.mx/contenidos/programas/envipe/2024/doc/cuest_modulo_envipe2024.pdf,https://www.inegi.org.mx/contenidos/programas/envipe/2025/doc/889463926689.pdf,BP5_1 clasifica el medio/tipo de extorsión hasta ENVIPE 2024 (datos 2023).
2014,2013,Nacional,Incidentes delictivos estimados,SERIE_HISTORICA_MODALIDAD,FRAUDE_INTERNET_CORREO,Fraudes por internet o correo electrónico,Fraude,Internet/correo electrónico,estimado,BP4_1,07|08,5,47148.0,47148,43,3169461.0,2894,1.487571546076762,3162137.0,2884,1.4910169926223942,FAC_DEL,No,No,Condicionada: desde 2012 cambia la clasificación y cobertura del fraude,No,No,No recomendado,bd_envipe2014_dbf.zip,bd_envipe2014/bd_envipe2014/TMod_Vic.dbf,8f1d0eb519a0ceabe36d187d9a49734dbef97f219b86eea9084ebd1818973f77,https://www.inegi.org.mx/programas/envipe/2014/,https://www.inegi.org.mx/contenidos/programas/envipe/2024/doc/cuest_modulo_envipe2024.pdf,https://www.inegi.org.mx/contenidos/programas/envipe/2025/doc/889463926689.pdf,Desde datos 2012: fraude BPCOD=07/08 y BP4_1=5 es internet/correo electrónico.
2015,2014,Nacional,Incidentes delictivos estimados,SERIE_HISTORICA_ARMONIZADA,TOTAL_FRAUDE_EXTORSION_TELECOM_ARMONIZADO,Total armonizado: fraude por internet/correo y extorsión por teléfono o internet/correo,Fraude + extorsión,Medios de telecomunicaciones definidos por preguntas históricas,estimado,BP4_1+BP5_1,07|08|09,"BP4_1=5;BP5_1=1,3",7613118.0,7613118,6743,11412342.0,10351,66.70951501453426,11361933.0,10310,67.00548225376791,FAC_DEL,No,No,"Armonizada, no estrictamente comparable; ruptura conceptual en 2012",No estimable con la misma definición en 2024,No,No recomendado,bd_envipe2015_dbf.zip,TMod_Vic.dbf,6c2fcb165a179b0ca5e7d956a3673b375d26309be5a4748eabc31545add66a8d,https://www.inegi.org.mx/programas/envipe/2015/,https://www.inegi.org.mx/contenidos/programas/envipe/2024/doc/cuest_modulo_envipe2024.pdf | https://www.inegi.org.mx/contenidos/programas/envipe/2024/doc/cuest_modulo_envipe2024.pdf,https://www.inegi.org.mx/contenidos/programas/envipe/2025/doc/889463926689.pdf,Suma sin doble conteo porque fraude y extorsión son BPCOD distintos. No incluye amenazas ni hostigamiento antes de 2024 porque el instrumento no captaba su medio de comisión.
